component,type,layer,head,mean_ie,std_ie,consistency,score,n_samples
L00_MLP,mlp,0,-1,1.0407435560226441,1.087469941332955,0.78,0.8117799736976624,200
L41_MLP,mlp,41,-1,0.053148226737976076,0.10131354291668053,0.695,0.03693801758289337,200
L32_MLP,mlp,32,-1,0.0455869722366333,0.07890498943889585,0.75,0.034190229177474975,200
L43_MLP,mlp,43,-1,0.04965473175048828,0.11028979122723892,0.68,0.03376521759033203,200
L36_MLP,mlp,36,-1,0.04365993022918701,0.08622640344471257,0.645,0.02816065499782562,200
L22_MLP,mlp,22,-1,0.04122499465942383,0.09016513259464629,0.66,0.027208496475219727,200
L42_MLP,mlp,42,-1,0.03899003982543945,0.09506579004597022,0.66,0.02573342628479004,200
L27_MLP,mlp,27,-1,0.03740585803985596,0.08994467312642619,0.645,0.024126778435707093,200
L45_MLP,mlp,45,-1,0.0348327112197876,0.10496828056514736,0.62,0.021596280956268313,200
L37_MLP,mlp,37,-1,0.0344018030166626,0.09812974619941053,0.625,0.021501126885414123,200
L33_MLP,mlp,33,-1,0.03216811656951904,0.07535319063124248,0.655,0.021070116353034973,200
L46_MLP,mlp,46,-1,0.03756111145019531,0.16027613516201147,0.545,0.020470805740356448,200
L23_MLP,mlp,23,-1,0.030719776153564454,0.07726474935291852,0.625,0.019199860095977784,200
L30_MLP,mlp,30,-1,0.02783864498138428,0.07786691183784052,0.62,0.017259959888458253,200
L35_MLP,mlp,35,-1,0.02524174690246582,0.06798435208700222,0.68,0.017164387893676757,200
L39_MLP,mlp,39,-1,0.026737241744995116,0.07940561761249623,0.635,0.0169781485080719,200
L21_MLP,mlp,21,-1,0.02417133331298828,0.07529779798621394,0.58,0.014019373321533203,200
L29_MLP,mlp,29,-1,0.018018369674682618,0.06497886147738546,0.61,0.010991205501556398,200
L34_MLP,mlp,34,-1,0.017118654251098632,0.07868950986917204,0.63,0.010784752178192138,200
L28_MLP,mlp,28,-1,0.017023906707763672,0.07306061734661622,0.545,0.009278029155731202,200
L23H03,attn,23,3,0.012735481262207032,0.022037349173545225,0.7,0.008914836883544922,200
L31_MLP,mlp,31,-1,0.015411992073059082,0.07698827883569705,0.565,0.00870777552127838,200
L26H09,attn,26,9,0.012150092124938965,0.02973454211180509,0.645,0.007836809420585632,200
L01_MLP,mlp,1,-1,0.014360308647155762,0.12930961386572162,0.53,0.0076109635829925545,200
L26_MLP,mlp,26,-1,0.013901982307434082,0.0626112351579659,0.54,0.0075070704460144045,200
L20_MLP,mlp,20,-1,0.012297229766845703,0.06508332332706263,0.605,0.00743982400894165,200
L28H13,attn,28,13,0.013028697967529297,0.04503971119309638,0.57,0.007426357841491698,200
L24H24,attn,24,24,0.008789081573486329,0.016402781458195004,0.695,0.006108411693572998,200
L22H05,attn,22,5,0.00925333023071289,0.0225073314811859,0.65,0.0060146646499633786,200
L27H16,attn,27,16,0.008785977363586425,0.017076473910073914,0.68,0.005974464607238769,200
L11_MLP,mlp,11,-1,0.010658564567565918,0.049699320330259845,0.52,0.005542453575134278,200
L19_MLP,mlp,19,-1,0.009254660606384277,0.05538598632799133,0.585,0.005413976454734802,200
