component,type,layer,head,mean_ie,consistency,score
L18_MLP,mlp,18,-1,0.05559182167053223,0.55,0.030575501918792727
L39_MLP,mlp,39,-1,0.026633262634277344,0.65,0.017311620712280273
L03_MLP,mlp,3,-1,0.0262115478515625,0.6,0.015726928710937498
L12H00,attn,12,0,0.014589595794677734,0.85,0.012401156425476073
L20_MLP,mlp,20,-1,0.019268798828125,0.6,0.011561279296875
L21H16,attn,21,16,0.014004707336425781,0.8,0.011203765869140625
L00H06,attn,0,6,0.014253711700439453,0.75,0.01069028377532959
L47_MLP,mlp,47,-1,0.017722892761230468,0.6,0.01063373565673828
L28H13,attn,28,13,0.014556598663330079,0.65,0.009461789131164551
L24_MLP,mlp,24,-1,0.017444515228271486,0.5,0.008722257614135743
L12H20,attn,12,20,0.011589765548706055,0.75,0.008692324161529541
L12H21,attn,12,21,0.010985565185546876,0.75,0.008239173889160158
L05H24,attn,5,24,0.01004328727722168,0.8,0.008034629821777344
L23H12,attn,23,12,0.009727096557617188,0.8,0.00778167724609375
L24H02,attn,24,2,0.010332012176513672,0.75,0.007749009132385253
L03H23,attn,3,23,0.009631967544555664,0.8,0.007705574035644532
L06H08,attn,6,8,0.009229898452758789,0.8,0.007383918762207032
L25_MLP,mlp,25,-1,0.013247156143188476,0.55,0.007285935878753662
L20H22,attn,20,22,0.011026144027709961,0.65,0.0071669936180114744
L38H11,attn,38,11,0.011250925064086915,0.6,0.006750555038452149
L15H02,attn,15,2,0.008425235748291016,0.8,0.006740188598632813
L33H08,attn,33,8,0.0072613716125488285,0.8,0.005809097290039063
L18H14,attn,18,14,0.0077307701110839845,0.75,0.005798077583312989
L00H09,attn,0,9,0.008169460296630859,0.7,0.0057186222076416006
L06H04,attn,6,4,0.007621145248413086,0.75,0.005715858936309815
L30H24,attn,30,24,0.006895780563354492,0.8,0.005516624450683594
L19H14,attn,19,14,0.00841989517211914,0.65,0.005472931861877441
L34_MLP,mlp,34,-1,0.009090757369995118,0.6,0.00545445442199707
L15H19,attn,15,19,0.007742404937744141,0.7,0.005419683456420898
L29H22,attn,29,22,0.007186365127563476,0.75,0.005389773845672607
L18H15,attn,18,15,0.007493257522583008,0.7,0.005245280265808105
L22H15,attn,22,15,0.00793461799621582,0.65,0.005157501697540283
L00H07,attn,0,7,0.007775115966796875,0.65,0.005053825378417969
L13H06,attn,13,6,0.0073374748229980465,0.65,0.00476935863494873
L26H09,attn,26,9,0.006749582290649414,0.7,0.004724707603454589
L23H16,attn,23,16,0.006702280044555664,0.7,0.004691596031188965
L06H17,attn,6,17,0.006411552429199219,0.7,0.004488086700439453
L04H20,attn,4,20,0.005945587158203125,0.75,0.004459190368652343
L10H10,attn,10,10,0.007395172119140625,0.6,0.0044371032714843744
L30H11,attn,30,11,0.007179927825927734,0.6,0.00430795669555664
L14H21,attn,14,21,0.0056798458099365234,0.75,0.004259884357452393
L35_MLP,mlp,35,-1,0.006449365615844726,0.65,0.004192087650299072
L09H23,attn,9,23,0.005567073822021484,0.75,0.004175305366516113
L00H12,attn,0,12,0.0075897216796875,0.55,0.004174346923828125
L10H16,attn,10,16,0.005515909194946289,0.75,0.0041369318962097175
L03H06,attn,3,6,0.006178092956542969,0.65,0.00401576042175293
L27H07,attn,27,7,0.005635404586791992,0.7,0.003944783210754394
L02H19,attn,2,19,0.005999279022216797,0.65,0.003899531364440918
L06H02,attn,6,2,0.005945348739624023,0.65,0.003864476680755615
