component,type,layer,head,mean_ie,consistency,score
L00_MLP,mlp,0,-1,1.0407435560226441,0.78,0.8117799736976624
L41_MLP,mlp,41,-1,0.053148226737976076,0.695,0.03693801758289337
L32_MLP,mlp,32,-1,0.0455869722366333,0.75,0.034190229177474975
L43_MLP,mlp,43,-1,0.04965473175048828,0.68,0.03376521759033203
L36_MLP,mlp,36,-1,0.04365993022918701,0.645,0.02816065499782562
L22_MLP,mlp,22,-1,0.04122499465942383,0.66,0.027208496475219727
L42_MLP,mlp,42,-1,0.03899003982543945,0.66,0.02573342628479004
L27_MLP,mlp,27,-1,0.03740585803985596,0.645,0.024126778435707093
L45_MLP,mlp,45,-1,0.0348327112197876,0.62,0.021596280956268313
L37_MLP,mlp,37,-1,0.0344018030166626,0.625,0.021501126885414123
L33_MLP,mlp,33,-1,0.03216811656951904,0.655,0.021070116353034973
L46_MLP,mlp,46,-1,0.03756111145019531,0.545,0.020470805740356448
L23_MLP,mlp,23,-1,0.030719776153564454,0.625,0.019199860095977784
L30_MLP,mlp,30,-1,0.02783864498138428,0.62,0.017259959888458253
L35_MLP,mlp,35,-1,0.02524174690246582,0.68,0.017164387893676757
L39_MLP,mlp,39,-1,0.026737241744995116,0.635,0.0169781485080719
L21_MLP,mlp,21,-1,0.02417133331298828,0.58,0.014019373321533203
L29_MLP,mlp,29,-1,0.018018369674682618,0.61,0.010991205501556398
L34_MLP,mlp,34,-1,0.017118654251098632,0.63,0.010784752178192138
L28_MLP,mlp,28,-1,0.017023906707763672,0.545,0.009278029155731202
L23H03,attn,23,3,0.012735481262207032,0.7,0.008914836883544922
L31_MLP,mlp,31,-1,0.015411992073059082,0.565,0.00870777552127838
L26H09,attn,26,9,0.012150092124938965,0.645,0.007836809420585632
L01_MLP,mlp,1,-1,0.014360308647155762,0.53,0.0076109635829925545
L26_MLP,mlp,26,-1,0.013901982307434082,0.54,0.0075070704460144045
L20_MLP,mlp,20,-1,0.012297229766845703,0.605,0.00743982400894165
L28H13,attn,28,13,0.013028697967529297,0.57,0.007426357841491698
L24H24,attn,24,24,0.008789081573486329,0.695,0.006108411693572998
L22H05,attn,22,5,0.00925333023071289,0.65,0.0060146646499633786
L27H16,attn,27,16,0.008785977363586425,0.68,0.005974464607238769
L11_MLP,mlp,11,-1,0.010658564567565918,0.52,0.005542453575134278
L19_MLP,mlp,19,-1,0.009254660606384277,0.585,0.005413976454734802
L28H08,attn,28,8,0.00839045524597168,0.61,0.005118177700042725
L07_MLP,mlp,7,-1,0.009352731704711913,0.535,0.005003711462020874
L44_MLP,mlp,44,-1,0.00926790714263916,0.535,0.0049583303213119505
L10_MLP,mlp,10,-1,0.00786407470703125,0.59,0.004639804077148437
L34H22,attn,34,22,0.00721829891204834,0.64,0.004619711303710938
L33H15,attn,33,15,0.007346358299255371,0.615,0.004518010354042053
L14H21,attn,14,21,0.007151389122009277,0.625,0.004469618201255798
L47H00,attn,47,0,0.008853778839111329,0.485,0.004294082736968994
L33H09,attn,33,9,0.006171236038208008,0.695,0.004289009046554566
L39H08,attn,39,8,0.007153778076171875,0.58,0.004149191284179687
L42H20,attn,42,20,0.006718034744262695,0.595,0.003997230672836303
L26H06,attn,26,6,0.0061465644836425784,0.645,0.003964534091949463
L27H06,attn,27,6,0.006169838905334473,0.63,0.0038869985103607177
L13_MLP,mlp,13,-1,0.006993956565856933,0.55,0.0038466761112213137
L33H05,attn,33,5,0.006063981056213379,0.62,0.003759668254852295
L32H21,attn,32,21,0.006741418838500977,0.555,0.0037414874553680427
L30H07,attn,30,7,0.006393160820007324,0.585,0.0037399990797042843
L18_MLP,mlp,18,-1,0.007301483154296875,0.51,0.003723756408691406
L16_MLP,mlp,16,-1,0.006018743515014648,0.585,0.003520964956283569
L25H03,attn,25,3,0.005629239082336426,0.625,0.0035182744264602665
L19H11,attn,19,11,0.005446019172668457,0.645,0.003512682366371155
L31H14,attn,31,14,0.005898385047912597,0.575,0.0033915714025497434
L28H21,attn,28,21,0.004996051788330078,0.67,0.0033473546981811525
L38H11,attn,38,11,0.005254530906677246,0.62,0.003257809162139892
L40_MLP,mlp,40,-1,0.005910439491271973,0.55,0.0032507417201995854
L23H01,attn,23,1,0.005006184577941894,0.645,0.003228989052772522
L34H23,attn,34,23,0.005256466865539551,0.595,0.0031275977849960328
L22H04,attn,22,4,0.00528874397277832,0.59,0.0031203589439392086
L39H18,attn,39,18,0.0051549959182739255,0.605,0.003118772530555725
L19H07,attn,19,7,0.005176863670349121,0.6,0.0031061182022094724
L22H14,attn,22,14,0.004785337448120117,0.645,0.0030865426540374755
L31H16,attn,31,16,0.0047971391677856445,0.625,0.002998211979866028
L20H22,attn,20,22,0.004867405891418457,0.61,0.002969117593765259
L29H02,attn,29,2,0.0048226118087768555,0.61,0.0029417932033538817
L47H22,attn,47,22,0.004231300354003906,0.675,0.002856127738952637
L41H14,attn,41,14,0.004631671905517578,0.61,0.0028253198623657224
L25H07,attn,25,7,0.004454135894775391,0.615,0.0027392935752868653
L03H15,attn,3,15,0.004608054161071778,0.585,0.0026957116842269897
L31H01,attn,31,1,0.004285831451416016,0.625,0.00267864465713501
L26H02,attn,26,2,0.004219894409179688,0.63,0.002658533477783203
L18H02,attn,18,2,0.004462199211120605,0.59,0.002632697534561157
L02H23,attn,2,23,0.004569969177246094,0.57,0.0026048824310302733
L37H09,attn,37,9,0.00431356430053711,0.6,0.0025881385803222657
L21H09,attn,21,9,0.004111666679382325,0.62,0.0025492333412170413
L25H00,attn,25,0,0.004200024604797363,0.605,0.0025410148859024047
L35H08,attn,35,8,0.003788747787475586,0.66,0.0025005735397338868
L21H16,attn,21,16,0.0038567733764648436,0.61,0.0023526317596435547
L22H13,attn,22,13,0.004373359680175781,0.535,0.002339747428894043
L23H24,attn,23,24,0.003715205192565918,0.62,0.0023034272193908694
L31H06,attn,31,6,0.0031919956207275392,0.705,0.002250356912612915
L37H12,attn,37,12,0.003585853576660156,0.615,0.002205299949645996
L25H15,attn,25,15,0.003260931968688965,0.655,0.002135910439491272
L16H12,attn,16,12,0.0032784843444824217,0.65,0.002131014823913574
L21H00,attn,21,0,0.003721299171447754,0.565,0.002102534031867981
L32H01,attn,32,1,0.003360152244567871,0.62,0.00208329439163208
L46H03,attn,46,3,0.0038048267364501954,0.545,0.002073630571365357
L19H12,attn,19,12,0.0031818914413452148,0.65,0.0020682294368743895
L20H04,attn,20,4,0.0032102394104003905,0.615,0.00197429723739624
L17H00,attn,17,0,0.003080153465270996,0.62,0.0019096951484680177
L36H19,attn,36,19,0.002848834991455078,0.67,0.0019087194442749024
L15_MLP,mlp,15,-1,0.003463301658630371,0.545,0.0018874994039535524
L23H14,attn,23,14,0.003409862518310547,0.55,0.0018754243850708009
L06H06,attn,6,6,0.0035166549682617188,0.53,0.001863827133178711
L34H03,attn,34,3,0.003285994529724121,0.565,0.0018565869092941282
L41H12,attn,41,12,0.0027781248092651365,0.66,0.0018335623741149902
L27H20,attn,27,20,0.0031055450439453126,0.59,0.0018322715759277342
L32H24,attn,32,24,0.003239154815673828,0.565,0.0018301224708557127
L25H21,attn,25,21,0.0031803274154663086,0.575,0.0018286882638931274
L18H04,attn,18,4,0.003122830390930176,0.58,0.001811241626739502
L46H23,attn,46,23,0.0027155447006225585,0.645,0.0017515263319015503
L27H07,attn,27,7,0.0025764417648315428,0.67,0.0017262159824371337
L24H18,attn,24,18,0.0029667139053344725,0.575,0.0017058604955673216
L39H01,attn,39,1,0.002996535301208496,0.565,0.0016930424451828
L27H15,attn,27,15,0.0028488492965698243,0.59,0.0016808210849761963
L11H16,attn,11,16,0.0027046871185302736,0.61,0.0016498591423034668
L16H23,attn,16,23,0.002615318298339844,0.625,0.0016345739364624025
L46H19,attn,46,19,0.0027297639846801756,0.595,0.0016242095708847045
L27H14,attn,27,14,0.0028832101821899413,0.555,0.0016001816511154177
L04H15,attn,4,15,0.003004903793334961,0.53,0.0015925990104675293
L24H08,attn,24,8,0.0027649450302124024,0.57,0.0015760186672210692
L16H24,attn,16,24,0.002484745979309082,0.63,0.0015653899669647218
L21H22,attn,21,22,0.0025835561752319334,0.6,0.00155013370513916
L32H14,attn,32,14,0.0022964382171630857,0.655,0.0015041670322418212
L32H07,attn,32,7,0.002427711486816406,0.61,0.0014809040069580076
L08H06,attn,8,6,0.0024119138717651365,0.61,0.0014712674617767332
L32H15,attn,32,15,0.002190103530883789,0.66,0.0014454683303833007
L05H09,attn,5,9,0.0022640275955200196,0.635,0.0014376575231552125
L47H06,attn,47,6,0.002659773826599121,0.53,0.0014096801280975343
L25H10,attn,25,10,0.002307000160217285,0.605,0.0013957350969314576
L21H12,attn,21,12,0.002334561347961426,0.595,0.0013890640020370484
L20H24,attn,20,24,0.002357640266418457,0.585,0.0013792195558547972
L20H11,attn,20,11,0.0023548221588134766,0.58,0.0013657968521118163
L12H10,attn,12,10,0.002385129928588867,0.555,0.0013237471103668213
L19H05,attn,19,5,0.002142786979675293,0.61,0.0013071000576019287
L23H07,attn,23,7,0.0021480846405029295,0.605,0.0012995912075042723
L22H17,attn,22,17,0.002110161781311035,0.615,0.0012977494955062866
L22H00,attn,22,0,0.0025150251388549806,0.515,0.001295237946510315
L14H18,attn,14,18,0.0018587875366210937,0.68,0.001263975524902344
L24H15,attn,24,15,0.0022518157958984373,0.56,0.001261016845703125
L03H05,attn,3,5,0.0020017194747924804,0.625,0.0012510746717453002
L20H20,attn,20,20,0.0019165897369384766,0.65,0.0012457833290100099
L02H20,attn,2,20,0.0019878673553466795,0.625,0.0012424170970916748
L18H06,attn,18,6,0.0020928382873535156,0.59,0.001234774589538574
L40H19,attn,40,19,0.002036571502685547,0.605,0.0012321257591247558
L04H21,attn,4,21,0.00217710018157959,0.565,0.001230061602592468
L18H03,attn,18,3,0.0021982288360595705,0.555,0.0012200170040130617
L34H15,attn,34,15,0.0018880701065063477,0.645,0.0012178052186965942
L18H00,attn,18,0,0.0020653676986694337,0.585,0.0012082401037216187
L30H12,attn,30,12,0.0020586967468261717,0.585,0.0012043375968933104
L45H17,attn,45,17,0.0019173240661621094,0.625,0.0011983275413513183
L15H21,attn,15,21,0.002232685089111328,0.535,0.0011944865226745606
L09_MLP,mlp,9,-1,0.0021706342697143553,0.55,0.0011938488483428955
L07H08,attn,7,8,0.0021317386627197265,0.56,0.001193773651123047
L47H01,attn,47,1,0.0019536828994750977,0.61,0.0011917465686798097
L36H21,attn,36,21,0.0021055459976196287,0.565,0.0011896334886550902
L26H24,attn,26,24,0.002103438377380371,0.56,0.0011779254913330077
L33H03,attn,33,3,0.002235832214355469,0.525,0.0011738119125366212
L10H08,attn,10,8,0.001954493522644043,0.6,0.0011726961135864256
L15H12,attn,15,12,0.0020505952835083007,0.565,0.0011585863351821898
L16H18,attn,16,18,0.0018770694732666016,0.615,0.0011543977260589598
L26H07,attn,26,7,0.002078251838684082,0.55,0.0011430385112762452
L47H07,attn,47,7,0.001934957504272461,0.59,0.001141624927520752
L37H01,attn,37,1,0.002309174537658691,0.49,0.0011314955234527587
L36H07,attn,36,7,0.001954669952392578,0.575,0.0011239352226257323
L28H05,attn,28,5,0.0018840837478637695,0.59,0.001111609411239624
L41H10,attn,41,10,0.0016054296493530273,0.685,0.0010997193098068237
L32H17,attn,32,17,0.0017956972122192382,0.605,0.0010863968133926392
L14H13,attn,14,13,0.001761317253112793,0.615,0.0010832101106643677
L12H24,attn,12,24,0.0018181991577148437,0.595,0.001081828498840332
L23H17,attn,23,17,0.0017040109634399415,0.63,0.001073526906967163
L21H11,attn,21,11,0.001987266540527344,0.54,0.0010731239318847658
L15H20,attn,15,20,0.00183347225189209,0.585,0.0010725812673568725
L02H13,attn,2,13,0.0019012689590454102,0.56,0.0010647106170654297
L23H12,attn,23,12,0.001976032257080078,0.53,0.0010472970962524415
L20H07,attn,20,7,0.0017452192306518554,0.6,0.0010471315383911131
L03_MLP,mlp,3,-1,0.0020458984375,0.51,0.0010434082031250001
L21H05,attn,21,5,0.0019167184829711914,0.54,0.0010350279808044435
L06H18,attn,6,18,0.001830458641052246,0.565,0.001034209132194519
L32H03,attn,32,3,0.001775836944580078,0.58,0.0010299854278564451
L24H19,attn,24,19,0.001786484718322754,0.575,0.0010272287130355835
L27H19,attn,27,19,0.0016799116134643556,0.6,0.0010079469680786134
L04H16,attn,4,16,0.001531233787536621,0.655,0.0010029581308364868
L18H24,attn,18,24,0.0017976808547973634,0.555,0.0009977128744125367
L29H03,attn,29,3,0.0017360353469848633,0.565,0.0009808599710464476
L32H09,attn,32,9,0.001581721305847168,0.615,0.0009727586030960084
L24H13,attn,24,13,0.0015343093872070312,0.63,0.0009666149139404296
L26H15,attn,26,15,0.0016165542602539062,0.59,0.0009537670135498046
L30H06,attn,30,6,0.0016049385070800782,0.58,0.0009308643341064453
L17H06,attn,17,6,0.0016548919677734375,0.56,0.0009267395019531251
L43H22,attn,43,22,0.0016355180740356445,0.565,0.000924067711830139
L17H13,attn,17,13,0.0015728378295898438,0.585,0.0009201101303100586
L24H01,attn,24,1,0.0015202474594116211,0.605,0.0009197497129440307
L18H07,attn,18,7,0.0015462923049926758,0.585,0.0009045809984207152
L15H14,attn,15,14,0.0017789220809936524,0.505,0.0008983556509017945
