component,type,layer,head,mean_ie,consistency,score
L00_MLP,mlp,0,-1,1.0407435560226441,0.78,0.8117799736976624
L41_MLP,mlp,41,-1,0.053148226737976076,0.695,0.03693801758289337
L32_MLP,mlp,32,-1,0.0455869722366333,0.75,0.034190229177474975
L43_MLP,mlp,43,-1,0.04965473175048828,0.68,0.03376521759033203
L36_MLP,mlp,36,-1,0.04365993022918701,0.645,0.02816065499782562
L22_MLP,mlp,22,-1,0.04122499465942383,0.66,0.027208496475219727
L42_MLP,mlp,42,-1,0.03899003982543945,0.66,0.02573342628479004
L27_MLP,mlp,27,-1,0.03740585803985596,0.645,0.024126778435707093
L45_MLP,mlp,45,-1,0.0348327112197876,0.62,0.021596280956268313
L37_MLP,mlp,37,-1,0.0344018030166626,0.625,0.021501126885414123
L33_MLP,mlp,33,-1,0.03216811656951904,0.655,0.021070116353034973
L46_MLP,mlp,46,-1,0.03756111145019531,0.545,0.020470805740356448
L23_MLP,mlp,23,-1,0.030719776153564454,0.625,0.019199860095977784
L30_MLP,mlp,30,-1,0.02783864498138428,0.62,0.017259959888458253
L35_MLP,mlp,35,-1,0.02524174690246582,0.68,0.017164387893676757
L39_MLP,mlp,39,-1,0.026737241744995116,0.635,0.0169781485080719
L21_MLP,mlp,21,-1,0.02417133331298828,0.58,0.014019373321533203
L29_MLP,mlp,29,-1,0.018018369674682618,0.61,0.010991205501556398
L34_MLP,mlp,34,-1,0.017118654251098632,0.63,0.010784752178192138
L28_MLP,mlp,28,-1,0.017023906707763672,0.545,0.009278029155731202
L23H03,attn,23,3,0.012735481262207032,0.7,0.008914836883544922
L31_MLP,mlp,31,-1,0.015411992073059082,0.565,0.00870777552127838
L26H09,attn,26,9,0.012150092124938965,0.645,0.007836809420585632
L01_MLP,mlp,1,-1,0.014360308647155762,0.53,0.0076109635829925545
L26_MLP,mlp,26,-1,0.013901982307434082,0.54,0.0075070704460144045
L20_MLP,mlp,20,-1,0.012297229766845703,0.605,0.00743982400894165
L28H13,attn,28,13,0.013028697967529297,0.57,0.007426357841491698
L24H24,attn,24,24,0.008789081573486329,0.695,0.006108411693572998
L22H05,attn,22,5,0.00925333023071289,0.65,0.0060146646499633786
L27H16,attn,27,16,0.008785977363586425,0.68,0.005974464607238769
L11_MLP,mlp,11,-1,0.010658564567565918,0.52,0.005542453575134278
L19_MLP,mlp,19,-1,0.009254660606384277,0.585,0.005413976454734802
L28H08,attn,28,8,0.00839045524597168,0.61,0.005118177700042725
L07_MLP,mlp,7,-1,0.009352731704711913,0.535,0.005003711462020874
L44_MLP,mlp,44,-1,0.00926790714263916,0.535,0.0049583303213119505
L10_MLP,mlp,10,-1,0.00786407470703125,0.59,0.004639804077148437
L34H22,attn,34,22,0.00721829891204834,0.64,0.004619711303710938
L33H15,attn,33,15,0.007346358299255371,0.615,0.004518010354042053
L14H21,attn,14,21,0.007151389122009277,0.625,0.004469618201255798
L47H00,attn,47,0,0.008853778839111329,0.485,0.004294082736968994
L33H09,attn,33,9,0.006171236038208008,0.695,0.004289009046554566
L39H08,attn,39,8,0.007153778076171875,0.58,0.004149191284179687
L42H20,attn,42,20,0.006718034744262695,0.595,0.003997230672836303
L26H06,attn,26,6,0.0061465644836425784,0.645,0.003964534091949463
L27H06,attn,27,6,0.006169838905334473,0.63,0.0038869985103607177
L13_MLP,mlp,13,-1,0.006993956565856933,0.55,0.0038466761112213137
L33H05,attn,33,5,0.006063981056213379,0.62,0.003759668254852295
L32H21,attn,32,21,0.006741418838500977,0.555,0.0037414874553680427
L30H07,attn,30,7,0.006393160820007324,0.585,0.0037399990797042843
L18_MLP,mlp,18,-1,0.007301483154296875,0.51,0.003723756408691406
