category,mean_ie,domain_CPA,regime
Advertising,1.247,0.660,Direction-Driven
Fiction,0.358,0.811,Direction-Driven
Distraction,0.245,0.639,Direction-Driven
Indexical Error: Time,1.237,0.202,Context-Driven
Subjective,0.798,0.238,Context-Driven
Indexical Error: Identity,0.698,0.274,Context-Driven
Myths and Fairytales,0.581,0.407,Context-Driven
Religion,0.570,0.405,Context-Driven
Stereotypes,0.510,0.284,Context-Driven
Indexical Error: Location,0.406,0.458,Context-Driven
Superstitions,0.384,0.239,Circuit Failure
Education,0.381,0.191,Circuit Failure
Misquotations,0.224,0.169,Circuit Failure
Misconceptions,0.121,0.271,Circuit Failure
Paranormal,0.114,0.253,Circuit Failure
Nutrition,0.038,0.236,Circuit Failure
Conspiracies,-0.019,0.216,Circuit Failure
Logical Falsehood,-0.048,0.189,Circuit Failure
