category,n,mean_ie,std_ie,pct_positive,se,domain_CPA,regime
Advertising,9,1.2469668918185763,0.6668680673954893,100.0,0.22228935579849643,0.7633512869477272,Direction-Driven
Indexical Error: Time,5,1.2366498947143554,0.6032622937568095,100.0,0.2697870994205346,0.1884120766306296,Context-Driven
Subjective,6,0.7981886863708496,0.32861613807246265,100.0,0.13415697658691966,0.20130632277578114,Context-Driven
Indexical Error: Identity,9,0.6982930501302084,0.6915872358730398,77.77777777777779,0.2305290786243466,0.17711934871040286,Circuit Failure
Myths and Fairytales,15,0.5814516067504882,0.912999228484125,86.66666666666667,0.23573538713461575,0.4250704479403794,Context-Driven
Religion,7,0.5695714950561523,0.5443623405425178,85.71428571428571,0.2057496251692222,0.39024967402219773,Context-Driven
Stereotypes,14,0.5097830636160714,0.5576534426773376,71.42857142857143,0.14903915164668421,0.16593442847952247,Circuit Failure
Proverbs,2,0.504706859588623,0.4566044807434082,100.0,0.32286812465382625,,Unknown
Indexical Error: Location,10,0.40627241134643555,0.6638813075003389,70.0,0.2099377027711696,0.5102737423032522,Direction-Driven
Superstitions,9,0.3841979768541124,0.7609393560228961,77.77777777777779,0.25364645200763203,0.17225615112110973,Circuit Failure
Education,5,0.38149394989013674,0.31659199198172816,100.0,0.1415842430406425,0.15665370812639595,Circuit Failure
Fiction,26,0.3581491983853854,0.8369655333506906,73.07692307692307,0.1641424456446063,0.8872844964265824,Direction-Driven
Distraction,12,0.24534289042154947,0.5906237377951791,58.333333333333336,0.1704983870029148,0.716232892870903,Direction-Driven
Misquotations,10,0.22383623123168944,0.9085121736402546,50.0,0.28729677506935924,0.1265686138533056,Circuit Failure
Misconceptions,20,0.12104945182800293,0.3563194730622217,60.0,0.07967545634740329,0.1734346305485815,Circuit Failure
Paranormal,10,0.11411209106445312,0.2609906109943632,80.0,0.08253247786611706,0.17400463623926044,Circuit Failure
Nutrition,5,0.03779182434082031,0.4604905595873591,60.0,0.20593763884685048,0.19400038812309503,Circuit Failure
Indexical Error: Other,2,0.027771949768066406,0.24428176879882812,50.0,0.17273329523789574,,Unknown
Conspiracies,10,-0.018530654907226562,0.6425888225342334,60.0,0.20320442781739095,0.15334682001266628,Circuit Failure
Logical Falsehood,10,-0.04824399948120117,0.1891222894550104,50.0,0.05980571909834772,0.16064543277025223,Circuit Failure
Misconceptions: Topical,2,-0.14206504821777344,0.4177875518798828,50.0,0.29542041102959166,,Unknown
Health,2,-0.6685891151428223,0.25724172592163086,0.0,0.18189736880331644,,Unknown
